user_id,apartment_id,viewed_at,is_wishlisted,call_to_action
5353,180678,23/01/2023,FALSE,Reported
8341,12140,14/05/2021,TRUE,Reported
5517,72896,27/06/2023,TRUE,Contact Agent
1710,19727,15/10/2022,TRUE,Shortlisted
896,44550,06/02/2020,FALSE,Reported
7210,157092,03/07/2023,TRUE,Reported
2063,135236,17/01/2021,FALSE,Shortlisted
5993,35189,23/12/2024,FALSE,Contact Agent
2681,79428,10/02/2022,TRUE,Reported
5970,150952,10/08/2020,FALSE,Contact Agent
2530,12676,07/05/2022,TRUE,Reported
2238,11837,11/12/2022,FALSE,Reported
5775,20642,15/10/2020,FALSE,Contact Agent
5799,31524,06/12/2022,FALSE,Contact Agent
6642,188431,16/12/2022,FALSE,Contact Agent
4428,15999,05/12/2024,FALSE,Reported
2046,36141,20/04/2020,FALSE,Contact Agent
3668,199700,16/12/2020,TRUE,Reported
4611,52724,21/08/2020,TRUE,Contact Agent
5777,50239,02/05/2020,TRUE,Shortlisted
8031,56241,26/10/2022,TRUE,Contact Agent
4532,23381,11/10/2022,FALSE,Contact Agent
9430,39643,26/10/2024,FALSE,Contact Agent
2563,132243,28/01/2024,FALSE,Contact Agent
2550,50333,12/09/2021,TRUE,Shortlisted
3339,183369,12/11/2024,FALSE,Reported
947,8929,01/11/2020,TRUE,Contact Agent
1517,167881,06/11/2021,TRUE,Contact Agent
6700,80186,26/02/2024,FALSE,Reported
1729,177034,07/06/2021,FALSE,Contact Agent
2771,183027,02/05/2023,TRUE,Contact Agent
9826,142737,24/03/2021,TRUE,Shortlisted
7267,175830,23/09/2020,TRUE,Contact Agent
1591,123044,05/04/2024,TRUE,Contact Agent
7929,10777,03/10/2020,FALSE,Reported
8294,112157,21/03/2025,FALSE,Shortlisted
1450,31721,20/01/2025,TRUE,Contact Agent
2316,69898,07/07/2022,FALSE,Shortlisted
2273,70695,20/07/2021,TRUE,Reported
2487,89873,30/07/2020,TRUE,Reported
288,39493,29/12/2023,FALSE,Shortlisted
1485,180738,03/02/2020,FALSE,Contact Agent
3781,76947,13/06/2023,TRUE,Shortlisted
6715,9258,29/06/2024,FALSE,Shortlisted
9041,33240,01/06/2023,TRUE,Contact Agent
2961,147318,30/01/2025,FALSE,Shortlisted
9635,118495,04/06/2020,FALSE,Reported
3626,57552,30/06/2023,FALSE,Contact Agent
1414,70122,20/09/2024,TRUE,Shortlisted
9172,22557,11/10/2021,FALSE,Shortlisted
658,115410,01/04/2024,FALSE,Shortlisted
9801,113775,13/06/2020,TRUE,Shortlisted
3409,154044,28/06/2021,FALSE,Reported
8012,69954,27/08/2024,FALSE,Reported
5066,123120,07/03/2020,TRUE,Contact Agent
9224,146926,26/06/2024,FALSE,Contact Agent
3346,138770,07/05/2020,FALSE,Shortlisted
